Resumo,Data,Descrição
Justa causa para desfiliação partidária,03/07/2024,"Data a partir da qual e até 5 de abril de 2024, considera-se justa causa para a desfiliação partidária de vereadoras e vereadores a mudança de partido para concorrer a cargo de prefeito ou de vereador (Lei nº 9.096/1995, art. 22-A, III)."
Início da propaganda institucional,04/01/2024,"Data a partir da qual e até 30 de julho de 2024, o Tribunal Superior Eleitoral promoverá, em até 5 (cinco) minutos diários, contínuos ou não, requisitados às emissoras de rádio e de televisão, propaganda institucional destinada a incentivar a participação feminina, das(dos) jovens e da comunidade negra na política e a esclarecer cidadãs e cidadãos sobre as regras e o funcionamento do sistema eleitoral brasileiro (Lei nº 9.504/1997, art. 93-A; Res-TSE nº 23.610, art. 116)."
Término do período de justa causa para desfiliação partidária,04/05/2024,"Último dia do período em que se considera justa causa para a desfiliação partidária de vereadores e vereadores a mudança de partido para concorrer a cargo de prefeito ou de vereador (Lei nº 9.096/1995, art. 22-A, III)."
Data-limite para registro de estatutos de partidos políticos,04/06/2024,"Data-limite para registro, no Tribunal Superior Eleitoral, dos estatutos de partidos políticos e federações que poderão participar das eleições de 2024 (Lei nº 9.504/1997, arts. 4º; Lei nº 9.096/1995, art. 11-A; Res-TSE nº 23.609, art. 2º, I e II, primeira parte)."
Data-limite para domicílio eleitoral e filiação partidária,04/06/2024,"Data-limite para que a pessoa que pretenda se candidatar nas eleições de 2024 esteja com domicílio eleitoral no Município em que deseja concorrer e, desde que o estatuto partidário não estabeleça prazo superior, esteja filiada ao partido político pelo qual deseja ser inscrita (Lei nº 9.504/1997, art. 9º, caput; Lei nº 9.096/1995, art. 20, caput; Lei nº 23.609, art. 10)."
Data-limite para renúncia de mandatos,04/06/2024,"Data até a qual a(o) Presidente da República, as Governadoras, os Governadores, as Prefeitas e os Prefeitos que pretendam concorrer a outros cargos renunciem aos mandatos em exercício. (Constituição Federal, art. 14, § 6º; Res-TSE nº 23.609, art. 13)."
Último dia para solicitação de operações de alistamento,04/08/2024,"Último dia para que eleitoras e eleitores domiciliados(as) no Brasil que não possuem cadastro biométrico na Justiça Eleitoral solicitem operações de alistamento, transferência e revisão pelo serviço de autoatendimento eleitoral na internet."
Último dia para publicação de normas para escolha de candidatos,04/09/2024,"Último dia para o órgão de direção nacional do partido político ou da federação, que pretenda participar das eleições de 2024, fazer publicar, no Diário Oficial da União, na hipótese de omissão do estatuto, as normas para escolha e substituição de candidatas e candidatos e para a formação de coligações (Lei nº 9.504/1997, art. 7º, § 1º e Res.-TSE nº 23.609 art. 3º, § 3º)."
Proibição de revisão geral da remuneração,04/09/2024,"Data a partir da qual, até a posse das pessoas eleitas, é vedado às(aos) agentes públicos fazer, na circunscrição do pleito, revisão geral da remuneração das servidoras públicas e dos servidores públicos que exceda a recomposição da perda de seu poder aquisitivo ao longo do ano da eleição (Lei nº 9.504/1997, art. 73, VIII)."
Último dia para recebimento de solicitações de operações eleitorais,05/08/2024,"Último dia para o recebimento de solicitações de operações de alistamento, transferência e revisão eleitoral em todas as unidades da Justiça Eleitoral e no serviço de autoatendimento na internet."
Último dia para alistamento de presos e adolescentes,05/08/2024,"Último dia para que as presas e os presos provisórios e as(os) adolescentes internadas(os), sem inscrição eleitoral regular no Município onde estejam, sejam alistadas(os) ou requeiram a regularização de sua situação para votarem nas eleições de 2024, mediante revisão ou transferência do título eleitoral (Lei nº 9.504/1997, art. 91, caput; e Res.-TSE nº 23.659/2021, art. 12, parágrafo único)."
Suspensão de solicitações de operações eleitorais,05/09/2024,"Data a partir da qual, até 5 de novembro de 2024, fica suspenso o recebimento de solicitações de operações de alistamento, transferência e revisão eleitoral em todas as unidades da Justiça Eleitoral e no serviço de autoatendimento na internet (Lei nº 9.504/1997, art. 91)."
Teste de Confirmação das correções aplicadas,05/15/2024,"Data a partir da qual, até 17 de maio de 2024, será realizado o Teste de Confirmação das correções aplicadas decorrentes dos resultados obtidos no Teste Público de Segurança da Urna 2023 (TPS), ocorrido no período de 27 de novembro a 1º de dezembro de 2023 no Tribunal Superior Eleitoral."
Início da arrecadação prévia de recursos,05/15/2024,"Data a partir da qual é facultada a pré-candidatas e pré-candidatos a arrecadação prévia de recursos na modalidade de financiamento coletivo, ficando a liberação de recursos por entidades arrecadadoras condicionada ao cumprimento, pela candidata ou pelo candidato, do registro de sua candidatura, da obtenção do CNPJ e da abertura de conta bancária (Lei nº 9.504/1997, art. 22-A, § 3º, art. 22, § 4º)."
Início da campanha de arrecadação prévia de recursos,05/15/2024,"Data a partir da qual é permitida a campanha de arrecadação prévia de recursos na modalidade de financiamento coletivo, observadas a vedação a pedido de voto e as regras relativas à propaganda eleitoral na internet (Lei nº 9.504/1997, art. 22-A, § 3º; e Res.-TSE nº 23.610/2019, art. 3º, § 4º)."
Término do Teste de Confirmação das correções aplicadas,05/17/2024,"Último dia do Teste de Confirmação das correções aplicadas decorrentes dos resultados obtidos no Teste Público de Segurança da Urna 2023 (TPS) ocorrido no período de 27 de novembro a 1º de dezembro de 2023 no Tribunal Superior Eleitoral."
Último dia para realização de convenções,08/05/2024,"Último dia para que os partidos políticos e as federações realizem convenções para deliberar sobre a formação de coligações e sobre a escolha de candidatas e candidatos aos cargos de prefeito, vice-prefeito e vereador (Lei nº 9.504/1997, art. 8º, caput e Res.-TSE nº 23.609, art. 6º)."
Vedação de propaganda eleitoral em rádio e TV,08/06/2024,"Data a partir da qual é vedado às emissoras de rádio e de televisão, em sua programação normal e em seu noticiário (Lei nº 9.504/1997, art. 45, I, IV, V e VI, e Res.-TSE nº 23.610/2019, art. 43): a) transmitir, ainda que sob a forma de entrevista jornalística, imagens de realização de pesquisa ou de qualquer outro tipo de consulta popular de natureza eleitoral em que seja possível identificar a(o) entrevistada(o) ou em que haja manipulação de dados; b) veicular propaganda política; c) dar tratamento privilegiado a candidata, candidato, partido político, federação ou coligação, inclusive sob a forma de retransmissão de live eleitoral; d) veicular ou divulgar filmes, novelas, minisséries ou qualquer outro programa com alusão ou crítica voltada especificamente a candidata, candidato, partido político, federação ou coligação, mesmo que dissimuladamente, exceto programas jornalísticos ou debates políticos; e) divulgar nome de programa que se refira a candidata ou candidato escolhida(o) em convenção, ainda se preexistente, inclusive se coincidente com seu nome ou nome escolhido para constar da urna eletrônica, hipótese em fica proibida sua divulgação, sob pena de cancelamento do respectivo registro."
Prioridade postal para propaganda eleitoral,08/07/2024,"Data a partir da qual é assegurada aos partidos políticos e às federações a prioridade postal para a remessa de material de propaganda de suas candidatas e de seus candidatos (Código Eleitoral, art. 239; e Res.-TSE nº 23.610/2019, art. 120)."
Último dia para publicação de edital com nomes de mesários,08/07/2024,"Último dia para que as juízas e os juízes eleitorais publiquem edital contendo o nome das pessoas nomeadas como mesárias e mesários e para prestar apoio logístico, incluídas as pessoas que atuarão nos testes de integridade das urnas eletrônicas, no primeiro e no eventual segundo turnos de votação, contando-se da publicação do edital o prazo de 5 (cinco) dias para que os partidos políticos e federações reclamem das nomeações e para que as pessoas nomeadas, salvo se o impedimento for superveniente, apresentem recusa (Código Eleitoral, art. 120, § 4º)."
Último dia para publicação de edital com locais de votação,08/07/2024,"Último dia para publicação de edital com os locais designados para o funcionamento das Mesas Receptoras de Votos e de Justificativa, incluídas as agregadas, com a numeração ordinal e o local em que deverão funcionar, assim como a indicação da rua, do número e de qualquer outro elemento que facilite a sua localização, contando-se da publicação do edital o prazo de 3 (três) dias para que os partidos políticos e as federações reclamem da designação (Código Eleitoral 135, caput e §§ 1º e 7º)."
Último dia para nomeação de presidente das juntas eleitorais,08/07/2024,"Último dia para a(o) presidente do tribunal regional eleitoral nomear a(o) presidente, os integrantes das juntas eleitorais para o primeiro e o eventual segundo turnos de votação (Código Eleitoral, art. 36, § 1º)."
Último dia para designação da Comissão de Auditoria da Votação Eletrônica,08/07/2024,"Último dia para os tribunais regionais eleitorais designarem, em sessão pública, a Comissão de Auditoria da Votação Eletrônica, contando-se da sessão o prazo de 3 (três) dias para as entidades fiscalizadoras impugnarem a indicação de componente (Res.-TSE nº 23.673/2021, arts. 55, caput, e 56)."
Data-limite para publicação da tabela de representação dos partidos,08/13/2024,"Data-limite para que o Tribunal Superior Eleitoral publique a tabela com a representação dos partidos políticos na Câmara dos Deputados e no Congresso Nacional, consideradas as novas totalizações do resultado das últimas eleições gerais que ocorrerem até 20 de julho de 2024, para divisão do tempo destinado à propaganda eleitoral gratuita no rádio e na televisão e para a realização de debates (Res.-TSE nº 23.610/2019, arts. 44, § 6º, e 55, I)."
Último dia para registro de candidaturas,08/15/2024,"Último dia para os partidos políticos, as federações e as coligações requererem o registro de candidatas e candidatos aos cargos de prefeito, vice-prefeito e vereadores (Lei nº 9.504/1997, art. 11, caput; e Res.-TSE nº 23.609/2019, art. 18, III e 19, § 2º)."
Último dia para disponibilização de relação de contas rejeitadas,08/15/2024,"Último dia para os tribunais e conselhos de contas tornarem disponível à Justiça Eleitoral relação daquelas(es) que tiveram suas contas relativas ao exercício de cargos ou funções públicas rejeitadas por irregularidade insanável e por decisão irrecorrível do órgão competente, ressalvados os casos em que a questão estiver submetida à apreciação do Poder Judiciário ou haja sentença judicial favorável à(ao) Interessada(o) (Lei nº 9.504/1997, art. 11, § 5º)."
"Abertura de cartórios eleitorais aos sábados, domingos e feriados",08/15/2024,"Data a partir da qual os cartórios eleitorais e as secretarias dos tribunais eleitorais permanecerão abertos aos sábados, domingos e feriados (Lei Complementar nº 64/1990, art. 16)."
Contagem contínua de prazos processuais,08/15/2024,"Data a partir da qual e até 19 de dezembro, os prazos processuais relativos aos processos das eleições de 2024, salvo os submetidos ao procedimento do art. 22 da Lei Complementar nº 64/1990, serão contados, conforme o caso, em cartório ou secretaria ou no PJe, de forma contínua e não serão prorrogados quando se vencerem aos sábados, domingos e feriados (Lei Complementar nº 64/1990, art. 16, art. 78; e Res.-TSE nº 23.609/2019, art. 78)."
Uso de mural eletrônico para comunicações,08/15/2024,"Data a partir da qual e até 19 de dezembro de 2024, o mural eletrônico, mensagens instantâneas e mensagens eletrônicas serão utilizados para as comunicações da Justiça Eleitoral nos processos de registro de candidatura, nas representações, ressalvadas aquelas submetidas ao procedimento do art. 22 da LC 64/90, nas reclamações, nos pedidos de direito de resposta e nas prestações de contas, observadas as regras específicas das resoluções respectivas (Res.-TSE nº 23.607/2019, art. 98, caput; Res.-TSE nº 23.608/2019, caput, art. 12 e Res.-TSE nº 23.609/2019, art. 38, caput)."
Intimação eletrônica do Ministério Público,08/15/2024,"Data a partir da qual e até a decisão final da Justiça Eleitoral, nos processos de registro de candidatura, o Ministério Público será intimado das decisões, dos despachos e, quando não publicados em sessão, dos acórdãos por meio eletrônico, com abertura imediata do prazo processual, mesmo após o término do período eleitoral (Res.-TSE nº 23.609/2019, art. 38, §§ 7º e 8º)."
Intimação eletrônica em representações e reclamações,08/15/2024,"Data a partir da qual e até 19 de dezembro de 2024, nas representações, ressalvadas aquelas submetidas ao procedimento do art. 22 da LC 64/90, nas reclamações, nos pedidos de direito de resposta e nas prestações de contas, o Ministério Público será intimado das decisões e dos despachos por meio eletrônico. (Res.-TSE nº 23.607/2019, art. 99 e Res.-TSE nº 23.608/2019, art. 12, §§ 7º e 8º)."
Intimação eletrônica de acórdãos,08/15/2024,"Data a partir da qual e até 19 de dezembro de 2024, as partes e o Ministério Público serão intimados dos acórdãos, em sessão de julgamento, quando nela forem publicados. (Res.-TSE nº 23.607/2019, art. 99 e Res.-TSE nº 23.608/2019, art. 12, §§ 7º e 8º; e Res.-TSE nº 23.609/2019, art. 38, §§ 7º e 8º)."
Último dia para requisição de veiculação de propaganda em rede,08/15/2024,"Último dia para que os órgãos municipais de direção dos partidos políticos e das federações participantes do pleito de Município, onde não haja emissora de rádio e de televisão, requeiram ao tribunal regional eleitoral a veiculação da propaganda em rede pelas emissoras que os atingem, desde que a localidade seja apta à realização de segundo turno e seja operacionalmente viável realizar a retransmissão (Lei nº 9.504/1997, art. 48; Res.-TSE nº 23.610, art. 54, § 1º)."
Elaboração de plano de mídia e sorteio de ordem de veiculação,08/15/2024,"Data a partir da qual e até 25 de agosto de 2024, as juízas ou os juízes eleitorais responsáveis pela propaganda convocarão os partidos políticos, as federações e a representação das emissoras de televisão e de rádio para a elaboração de plano de mídia para uso da parcela do horário eleitoral gratuito a que tenham direito, assim como para realizar o sorteio para escolha da ordem de veiculação da propaganda em rede (Lei nº 9.504/1997, art. 52; e Res.-TSE nº 23.610/2019, arts. 53, caput e § 1º)."
Divulgação de comunicados e boletins ao eleitorado,08/15/2024,"Data até a qual e nos 3 (três) dias que antecedem a eleição, o Tribunal Superior Eleitoral poderá divulgar comunicados, boletins e instruções ao eleitorado em até 10 (dez) minutos diários, requisitados às emissoras de rádio e de televisão, contínuos ou não, que poderão ser somados e usados em dias descontinuados, podendo ceder, a seu juízo, parte desse tempo para utilização por tribunal regional eleitoral (Lei nº 9.504/1997, art. 93; e Res.-TSE nº 23.610, art. 115)."
Último dia para abertura de conta bancária específica,08/15/2024,"Último dia para que os partidos políticos providenciem a abertura de conta bancária específica destinada ao recebimento de doações de pessoas físicas para a campanha eleitoral, na Caixa Econômica Federal, no Banco do Brasil ou em outra instituição financeira com carteira comercial reconhecida pelo Banco Central do Brasil, caso não a tenham (Res.-TSE nº 23.607/2019, art. 8º, § 1º, II)."
Último dia para encaminhamento de critérios de utilização de doações,08/15/2024,"Último dia para os partidos políticos encaminharem ao Tribunal Superior Eleitoral os critérios definidos pelos órgãos de direção nacional para utilização, nas campanhas eleitorais, das doações recebidas de pessoas físicas ou das contribuições de filiadas e filiados recebidas em anos anteriores ao da eleição (Res.-TSE nº 23.607/2019, art. 18, II)."
Manutenção de registro de operações de tratamento de dados,08/15/2024,"Data a partir da qual e até o dia 19 de dezembro de dezembro, os partidos políticos, as federações, as coligações, as candidatas e os candidatos devem manter o registro das operações de tratamento de dados pessoais, permanecendo a obrigação em caso de ajuizamento de ação na qual se apure irregularidade ou ilicitude no tratamento de dados pelas campanhas (Res.-TSE nº 23.610, art. 33-C, caput e § 2º)."
Início da propaganda eleitoral,08/16/2024,"Data a partir da qual será permitida a propaganda eleitoral, inclusive na internet (Lei nº 9.504/1997, arts. 36, caput, e 57-A; Res.-TSE nº 23.610/2019, arts. 2º e 27)."
Uso de live como ato de campanha eleitoral,08/16/2024,"Data a partir da qual a utilização de live por pessoa candidata para promoção pessoal ou de atos referentes a exercício de mandato, mesmo sem menção ao pleito, equivale à promoção de candidatura e constitui ato de campanha eleitoral de natureza pública (Res.-TSE nº 23.610/2019, art. 29-A, caput e § 1º)."
Uso de alto-falantes e amplificadores de som,08/16/2024,"Data a partir da qual e até 5 de outubro de 2024, as candidatas, os candidatos, os partidos, as federações e as coligações poderão fazer funcionar, entre 8h (oito horas) e 22h (vinte e duas horas), alto-falantes ou amplificadores de som, nos termos do art. 15 da Res.-TSE nº 23.610 de 2019 (Lei nº 9.504/1997, art. 39, § 3º; e Res.-TSE nº 23.610/2019, art. 15)."
Realização de comícios e uso de sonorização fixa,08/16/2024,"Data a partir da qual e até 3 de outubro, poderão ser realizados comícios e utilizada aparelhagem de sonorização fixa, entre 8h (oito horas) e 24h (vinte e quatro horas), com exceção do comício de encerramento da campanha, que poderá ser prorrogado por mais 2 (duas) horas (Código Eleitoral, art. 240, parágrafo único; Lei nº 9.504/1997, art. 39, § 4º; e Res.-TSE nº 23.610/2019 art. 15, § 1º)."
Distribuição de material gráfico e realização de caminhadas,08/16/2024,"Data a partir da qual, até as 22h (vinte e duas horas) do dia 5 de outubro de 2024, poderá haver distribuição de material gráfico, caminhada, carreata ou passeata na qual se utilize outros meios de locomoção das pessoas, acompanhadas ou não por carro de som ou minúrio (Lei nº 9.504/1997, art. 39, § 9; e Res.-TSE nº 23.610/2019, art. 16)."
Divulgação paga de propaganda eleitoral na imprensa escrita,08/16/2024,"Data a partir da qual e até 4 de outubro, serão permitidas a divulgação paga, na imprensa escrita, e a reprodução na internet do jornal impresso, de até 10 (dez) anúncios de propaganda eleitoral, por veículo, em datas diversas, para cada candidata ou candidato, no espaço máximo, por edição, de 1/8 (um oitavo) de página de jornal padrão e de 1/4 (um quarto) de página de revista ou tabloide (Lei nº 9.504/1997, art. 43, caput; e Res.-TSE nº 23.610/2019, art. 42)."
Circulação paga ou impulsionada de propaganda eleitoral na internet,08/16/2024,"Data a partir da qual e até 4 de outubro, poderá haver circulação paga ou impulsionada de propaganda eleitoral na internet (Res.-TSE nº 23.610/2019, art. 29, § 11)."
Indicação de emissoras para propaganda eleitoral gratuita,08/16/2024,"Último dia para o tribunal regional eleitoral indicar as emissoras que transmitirão a propaganda eleitoral gratuita das candidatas e dos candidatos de Município onde não haja emissora de rádio e de televisão, se for requerido (Lei nº 9.504/1997, art. 48; Res.-TSE nº 23.610, art. 54, § 2º)."
Proibição de enquetes relacionadas ao processo eleitoral,08/16/2024,"Data a partir da qual não será permitida a realização de enquetes relacionadas ao processo eleitoral e caberá o exercício do poder de polícia contra a sua divulgação (Lei nº 9.504/1997, art. 33, § 5º, c.c. o art. 36; e Res.-TSE nº 23.600/2019, art. 23)."
Instalação de telefones em sedes de diretórios,08/16/2024,"Data a partir da qual, independente do critério para definição de prioridade, os serviços telefônicos, oficiais ou concedidos, farão instalar, nas sedes dos diretórios devidamente registrados, telefones necessários, mediante requerimento da(o) respectiva(o) presidente e pagamento das taxas devidas (Código Eleitoral, art. 256, § 1º; e Res.-TSE nº 23.610/2019, art. 118, parágrafo único)."
Último dia para relatórios de impacto à proteção de dados,08/16/2024,"Data até a qual as juízas e os juízes eleitorais competentes que concluírem necessários, nas capitais dos Estados, relatórios de impacto à proteção de dados expedirão ofício dirigido a todos os partidos políticos, federações e coligações que registrarem candidaturas para o cargo de prefeito, informando o prazo em que deverá ser atendida a requisição (Res.-TSE nº 23.610/2019, art. 33-D, § 1º)."
Último dia para informar veículos para transporte de eleitores,08/17/2024,"Data-limite para as pessoas responsáveis por repartições, órgãos e unidades do serviço público federal, estadual e municipal oficiarem ao juízo eleitoral correspondente, informando o número, a espécie e a lotação dos veículos e embarcações de que dispõem para o transporte gratuito de eleitoras e de eleitores residentes em zonas rurais, aldeias indígenas, comunidades remanescentes dos quilombos e comunidades tradicionais para o primeiro e eventual segundo turno de votação (Lei nº 6.091/1974, art. 3º)."
Último dia para informar itinerários de transporte,08/17/2024,"Data-limite para que o poder público informe ao juízo eleitoral itinerários, horários e modalidades de transporte que irá ofertar gratuitamente nos dias de votação."
Divulgação de percentuais de candidaturas femininas e negras,08/20/2024,"Data-limite para que o Tribunal Superior Eleitoral divulgue em sua página da internet os percentuais de candidaturas de femininas e de pessoas negras por partido político, calculados sobre o total de candidaturas que constaram de pedidos coletivos (RRC) e individuais (RRCI) no território nacional, para a destinação dos recursos do fundo partidário e do FEFC, de acordo com as reservas estabelecidas no § 4º do art. 17 e no § 3º do art. 19 da Resolução-TSE nº 23.607 de 2019."
Último dia para habilitação para votar em seção distinta,08/22/2024,"Último dia para o requerimento, a alteração ou o cancelamento da habilitação para votar em seção distinta da origem dentro do mesmo Município de: a) presas e presos provisórias(os) e adolescentes em unidades de internação, b) militares, agentes de segurança pública e guardas municipais em serviço no dia da eleição; c) com deficiência ou mobilidade reduzida; d) indígenas, quilombolas, integrantes de comunidades tradicionais e residentes de assentamentos rurais; e) e juízas e juízes eleitorais, juízas e juízes auxiliares, servidoras e servidores da Justiça Eleitoral e promotoras e promotores eleitorais em serviço no dia das eleições."
Último dia para distribuição de atribuições entre emissoras,08/23/2024,"Último dia para as emissoras distribuírem entre si as atribuições relativas ao fornecimento de equipamentos e mão de obra especializada para a geração da propaganda eleitoral e definirem a forma de veiculação de sinal único de propaganda e a forma pela qual todas as emissoras deverão captar e retransmitir o sinal (Res.-TSE nº 23.610/2019, art. 64, § 2º)."
Último dia para elaboração de plano de mídia e sorteio de ordem de veiculação,08/25/2024,"Data-limite para que as juízas ou os juízes eleitorais responsáveis pela propaganda convoquem os partidos políticos, as federações e a representação das emissoras de televisão e de rádio para a elaboração de plano de mídia para uso da parcela do horário eleitoral gratuito a que tenham direito e para realizar o sorteio para escolha da ordem de veiculação da propaganda em rede (Lei nº 9.504/1997, art. 52, arts. 53, caput e § 1º)."
Último dia para indicação de membros da Comissão Especial de Transporte,08/27/2024,"Último dia para os partidos políticos e federações indicarem até 3 (três) pessoas para compor a Comissão Especial de Transporte para o primeiro e eventual segundo turnos de votação (Lei nº 6.091, art. 14, § 1º e art. 15; e Res.- TSE nº 9.641/1974, art. 13, §§ 1º e 3º)."
Último dia para indicação de pessoas autorizadas a entregar mapas e mídias,08/28/2024,"Último dia para os partidos, as federações e as coligações indicarem ao grupo de emissoras ou à emissora responsável pela geração do sinal para veiculação da propaganda eleitoral gratuita, as pessoas autorizadas a entregar os mapas e as mídias, comunicando eventual substituição com, no mínimo, 24 (vinte e quatro) horas de antecedência, dispensado o credenciamento para as(os) presidentes das legendas e as(os) vice-presidentes e delegadas(os) credenciadas(os), mediante certidão obtida no sítio eletrônico do TSE (Res.-TSE nº 23.610/2019, art. 65, §§ 1º e 3º)."
Último dia para fornecimento de informações de contato,08/28/2024,"Último dia para o grupo de emissoras e as emissoras responsáveis pela geração fornecerem à Justiça Eleitoral, aos partidos políticos, às federações e às coligações, por formulário estabelecido no Anexo II da Res.- TSE nº 23.610/2019, seus telefones, endereços, inclusive eletrônico, e nomes das pessoas responsáveis pelo recebimento de mapas e de mídias (Res.-TSE nº 23.610/2019, art. 65, § 8º)."
Último dia para agregação de seções,08/29/2024,"Último dia para agregação de seções pelas zonas eleitorais."
Último dia para publicação de edital com nomes de mesários,08/30/2024,"Último dia para que as juízas e os juízes eleitorais publiquem edital com os nomes das pessoas designadas mesárias e mesários nas seções instaladas em estabelecimentos penais e nas unidades de internação de adolescentes, contando-se da publicação do edital o prazo de 5 (cinco) dias para que os partidos políticos e federações reclamem das nomeações e para que as pessoas nomeadas, salvo se o impedimento for superveniente, apresentem recusa (Código Eleitoral, art. 120, § 4º; Lei nº 9.504/1997, art. 63, caput)."
Último dia para habilitação para votar em seção distinta,08/30/2024,"Último dia para que o requerimento, a alteração ou o cancelamento da habilitação para votar em seção distinta da origem dentro do mesmo município seja formulado por: a) mesárias e mesários e as convocadas para apoio logístico, incluídas aquelas nomeadas para atuarem nos testes de integridade das urnas eletrônicas; b) agentes penitenciárias(os), policiais penais e servidoras de estabelecimentos penais e de unidades de internação de adolescentes custodiadas(os) nos quais haverá instalação de seções eleitorais."
Início da propaganda eleitoral gratuita no rádio e na TV,08/30/2024,"Data a partir da qual e até 3 de outubro de 2024 será veiculada a propaganda eleitoral gratuita no rádio e na televisão relativa ao primeiro turno (Lei nº 9.504/1997, arts. 47, caput, e 51; e Res.-TSE nº 23.610/2019, art. 49)."
Último dia para distribuição de recursos públicos,08/30/2024,"Último dia para os partidos efetuarem a distribuição dos recursos públicos do Fundo Especial de Financiamento de Campanha e do Fundo Partidário às candidaturas femininas e de pessoas negras (Res.-TSE nº 23.607/2019, arts. 17, § 10, e 19, § 10)."
Homologação de programas de verificação,09/01/2024,"Observada a data da Cerimônia de Assinatura Digital e Lacração dos Sistemas, último dia para o Tribunal Superior Eleitoral homologar os programas de verificação dos sistemas eleitorais desenvolvidos pelas entidades fiscalizadoras para fins de auditoria (Res.-TSE nº 23.673/2021, art. 16, § 1º)."
Último dia para requisição de notas fiscais eletrônicas,09/01/2024,"Último dia para os tribunais eleitorais requisitarem, por ofício, à Receita Federal e às secretarias estaduais e municipais de Fazenda arquivo eletrônico com as notas fiscais eletrônicas relativas ao fornecimento de bens e serviços para campanha eleitoral (Res.-TSE nº 23.607/2019, art. 92, § 2º, I)."
Último dia para requisição de identificação de permissionários,09/01/2024,"Último dia para os tribunais eleitorais requisitarem, por ofício, aos Poderes Executivos Estadual, Distrital e Municipal arquivo eletrônico com identificação dos permissionários de serviço público (Res.-TSE nº 23.607/2019, 92-A, § 2°, I)."
Último dia para agregação de seções,09/02/2024,"Último dia para agregação de seções pelos tribunais regionais eleitorais."
Disponibilização de consulta à seção de votação,09/03/2024,"Data a partir da qual estará disponível, no e-Título ou na internet, o serviço de consulta à seção de votação, atualizada com as informações a respeito da transferência temporária da eleitora ou do eleitor."
